DEM_9s_dx,DEM_9s_dy
-17.328814,12.403555
4.16198,6.167956
14.056244,4.3181143
-7.3919425,-13.348177
3.915828,1.3151832
-0.42786688,0.9638649
0.4451597,2.4195046
-4.851884,12.320812
-7.512386,12.604196
0.25064066,2.0328395
-12.117274,-14.832133
-0.55455726,2.2981167
4.531054,2.747411
-0.015158634,1.6877314
-0.6383017,0.6611595
-6.543284,-7.4211993
-6.1616898,-14.712535
-2.750016,1.7991618
4.136886,19.600952
19.951904,-39.992195
-10.452407,4.097255
1.6145757,49.53541
-3.4351716,-3.1599166
-0.8242752,0.19096497
-0.40361887,1.1710484
-0.13517311,16.14334
-0.22456545,1.5720152
-18.890423,-26.595675
-10.998124,-14.674251
-4.7530837,6.5694137
-9.032282,4.7848186
-6.002865,-20.415712
-2.0736644,2.8187284
-15.504354,-7.993439
4.8324456,-11.725709
-15.391218,7.567158
-2.9173083,-3.9365153
0.26110056,0.4737742
-2.651559,0.16304094
-24.199642,-43.634445
-5.857237,-15.123044
-0.6334742,-0.037947174
45.914986,-5.3718147
-1.0230702,9.544255
-4.09529,-17.805689
-1.910806,59.61486
6.5762763,4.018518
38.47856,-5.573032
5.4162984,35.716385
-10.039048,-11.424123
-2.1458654,-10.015566
-2.1491444,2.6756861
-1.440443,-10.049668
-8.477443,-6.054546
-23.74462,-14.623257
-2.4655013,-1.3916174
1.2322026,0.33250928
52.350315,-42.237003
49.97401,-22.148762
20.97915,-23.636168
0.5857694,-0.8099338
-2.6517324,2.5997052
-11.946135,3.3101902
-7.970713,-18.704727
0.5371886,-0.8609575
-10.567698,3.8459764
-1.2303016,1.0748204
-0.164669,-0.9600603
-8.276212,-11.7071295
-7.060466,-20.711573
-5.6435776,-7.2864833
-4.4685664,1.0150084
-5.1764646,1.8027042
-13.266325,0.98027194
-2.570842,1.8368766
-9.515756,-10.566694
17.643427,42.552723
1.2322026,0.33250928
-2.953117,-0.19536023
-0.1716924,-0.41139978
-7.887418,6.9644294
-1.0586714,1.6595216
-3.0805643,-2.4201844
-1.534151,-1.938087
0.34763345,1.4147056
3.6531942,-2.336146
-0.3876646,-2.0208304
0.62575525,7.360712
0.2749638,8.672566
-8.005415,6.2295194
-3.6688888,-2.2666802
-14.702953,3.4722342
-3.9858832,-2.225944
3.6929708,-1.5407436
0.42014268,0.5597893
-1.8438579,0.70744663
-1.9078583,7.8797355
-2.7325735,2.2993398
-9.280305,3.6031008
-1.6274987,8.899187
-3.0039418,3.180802
5.902938,0.8701299
1.1925174,-17.195637
0.13635786,4.6738305
1.2215242,9.310533
0.18462603,4.8165913
6.1665306,-6.66811
2.9290996,0.6831576
-0.8498917,-0.3289044
0.41765058,8.336998
-3.9031572,-8.75953
4.2372007,6.1416554
53.872944,-32.567818
-13.638036,-8.193805
-17.57613,-21.045492
-5.827315,2.5045989
-2.4310324,-0.20423034
-8.716079,-11.57546
33.46882,-30.349417
-0.61202717,13.441044
-24.106035,-22.539186
-0.9644935,2.3653672
-1.626327,1.9189972
-12.111184,-20.497988
-5.0273438,-4.4380836
-28.974546,2.6940227
-5.6314597,-7.758228
-6.617416,9.364965
-7.862873,3.4979174
-5.0791483,4.452319
1.6101009,2.0770338
1.7563429,8.352295
-30.094248,-23.482626
8.448276,-0.8047402
-9.9244995,-15.571617
-1.5126935,2.1977444
2.9947329,0.72203374
-7.881375,11.934206
1.8503363,54.50599
3.2494147,2.630942
-1.0210307,-0.5260738
0.48080137,-6.5386977
-7.817602,-3.7632287
-0.538609,0.6499334
-14.8062935,1.3340311
-0.12803727,-0.49681726
-18.85369,-21.31214
-7.715165,0.15473343
-39.425735,-19.561378
41.488533,-26.9747
0.14780974,0.9807642
-5.44777,-4.009335
-9.627958,11.426023
-1.6328393,0.5550606
0.8524949,-4.050765
0.8317851,3.5225625
-11.263808,-2.2961476
-1.180844,1.2048551
0.10814016,5.864607
-6.654647,2.2039976
2.62217,-2.683228
13.654398,10.864753
-15.264796,1.4014105
0.17245914,3.7257526
1.1923449,3.5264618
-11.866738,-11.13558
-2.8195965,-0.12736137
-5.5828123,-11.284059
-2.4679022,-8.014941
-1.6088656,-17.747217
-8.064853,5.3893304
5.786181,-4.700219
-8.805972,3.8639212
-1.7846811,-1.1384637
-9.75406,10.233698
0.19899628,1.0086927
18.489235,27.697575
-16.551737,-4.339504
0.8632827,2.4501674
-34.622368,11.893969
4.5184774,-1.3625609
18.942122,29.20662
-11.149928,-2.8508995
-1.7958494,4.740158
-6.483979,2.2016008
0.1398277,1.150569
-0.066847526,5.1104484
-6.72441,2.5787063
0.30649504,1.2112392
-12.989546,-9.111369
-9.986485,3.4799895
8.406732,8.513646
-5.672943,-4.9716315
-8.333015,-6.2864094
-7.0054307,9.975047
-34.74531,-22.277224
6.4461455,-1.3859074
-3.74326,4.7061114
-0.2921666,1.9840256
5.56196,10.144648
5.5049143,8.647474
17.117579,26.053017
-11.408668,-14.670469
2.6318672,0.47027582
-16.23466,-4.5700355
54.619232,-31.42584
-1.3608228,14.303036
-12.283924,4.6850758
-0.85715723,5.2701287
-0.55873793,2.5271873
0.37156472,0.66185075
2.2334661,4.7320375
-16.714985,-15.421275
19.951904,-39.992195
2.5708857,11.637518
5.4918118,6.645038
2.846258,5.6063905
47.84381,-46.918488
-5.4103923,-4.5300164
2.1331701,32.34236
-1.4072012,1.1112595
-4.879826,-2.2689087
1.0498412,-6.903998
-9.997515,-14.119732
33.075703,-41.078716
-10.815563,-7.948498
-6.3687005,-1.8091791
-7.578425,7.8368926
-15.202548,-5.221696
-10.583144,2.1376867
-2.6517324,2.5997052
-6.001007,-4.6893935
-1.2450063,2.0690494
-1.3292173,2.9293258
1.8405155,4.9778543
-1.2601649,1.9244473
-0.30643842,0.5556895
-19.893368,-21.799454
-44.108673,3.8917425
5.786181,-4.700219
-2.657117,-15.913368
7.112244,7.5414524
-7.472702,1.8793818
-0.464655,-2.0555055
-8.368609,3.2178676
-10.042841,-3.4904356
-7.6023564,-11.280066
-9.45356,3.1023645
0.6030527,-4.737381
-5.462214,0.7502734
2.9660754,4.51164
-2.4969761,0.9532
-10.71465,-13.508001
-13.291024,0.97068375
-14.298819,-24.72785
-1.658145,1.1745405
-0.5432563,2.9262776
-8.834048,3.215927
-0.7757915,0.53970116
-5.3676395,-1.4293467
2.902841,0.85820377
-9.12547,-12.334755
-9.106077,-27.725822
-0.32500842,1.4404674
3.1447458,-3.2857091
-3.6424859,-10.252841
-8.21609,-11.053942
41.975433,-30.734184
0.5768122,11.407706
-6.5304403,-4.2801847
-2.5557325,-3.0257828
-7.5194035,-19.419834
5.9296613,7.7872906
