rank,X,Y,mu,sigma,acquisition,dist_known_ree_deg
1,139.4555563,-30.15739438,0.5850963371861052,0.2706133693655161,0.9910163912343793,0.022746096023545454
2,139.3950041,-30.20457634,0.6377696951917213,0.23469938626772746,0.9898187745933125,0.03219543005142049
3,139.4454642,-30.15739438,0.5656170794528451,0.24915430365620117,0.9393485349371469,0.027462353734930674
4,139.4454642,-30.16683077,0.539436023751825,0.2604229735466682,0.9300704840718272,0.03540545218391681
5,139.4858323,-30.12908521,0.5456244409840507,0.24084372781366997,0.9068900327045557,0.02448751750672529
6,139.4151881,-30.18570355,0.524430653930022,0.2497513724970604,0.8990577126756125,0.05545835928462926
7,139.4353722,-30.12908521,0.5027312797988122,0.2435542930538874,0.8680627193796433,0.027660846183607198
8,139.3950041,-30.21401273,0.49783027240108657,0.22920121862214146,0.8416321003342988,0.033727497074541986
9,139.3950041,-30.18570355,0.48585904745971964,0.2370668424046628,0.8414593110667139,0.03699759631304156
10,139.4151881,-30.19513994,0.4024728572342997,0.26944592594065797,0.8066417461452866,0.05310787082536934
11,139.4252802,-30.1385216,0.42650113456445027,0.22951316027913934,0.7707708749831592,0.03707294637717539
12,139.3950041,-30.19513994,0.3611759948846849,0.2631622021616126,0.7559192981271038,0.03337122206338685
13,139.3243599,-30.21401273,0.3480438329520096,0.271158702297005,0.7547818863975171,0.026078162606943754
14,139.4454642,-30.14795799,0.39148982591604853,0.23603746975591897,0.745546030549927,0.020806407989884902
15,139.4353722,-30.17626716,0.37956627124431863,0.24376774930829184,0.7452178952067564,0.048697984636918046
16,139.4353722,-30.18570355,0.3594539104078964,0.2513396648558441,0.7364634076916625,0.056807048016166865
17,139.4858323,-30.14795799,0.39822642356803095,0.22229226176890107,0.7316648162213826,0.026606658841187087
18,139.4656483,-30.15739438,0.30491599637383315,0.2809597032476812,0.726355551245355,0.022006571280243303
19,139.5665686,-30.09133965,0.3584843237918979,0.24246325974973731,0.7221792134165038,0.11334776184197953
20,139.4555563,-30.16683077,0.31928559411110713,0.2682396944700074,0.7216451358161182,0.031886518405080055
